I Ought to Be in Pictures,Walter Matthau
La traviata,Teresa Stratas
Fighting Back,Tom Skerritt
Kamikaze 89,Rainer Werner Fassbinder
The Wizard of Oz,Aileen Quinn
Heidi's Song,Lorne Greene
Love Child,Amy Madigan
Boardinghouse,John Wintergate
Experience Preferred... But Not Essential,Elizabeth Edmonds
The Personals,United States
Lonely Hearts,Wendy Hughes
Scarface,Al Pacino
The Outsiders,C. Thomas Howell
Star Wars: Episode VI - Return of the Jedi,Mark Hamill
Risky Business,Tom Cruise
National Lampoon's Vacation,Chevy Chase
Trading Places,Eddie Murphy
Superman III,Christopher Reeve
The Big Chill,Tom Berenger
Staying Alive,John Travolta
Jaws 3-D,Dennis Quaid
Christine,Keith Gordon
Sleepaway Camp,Felissa Rose
Flashdance,Jennifer Beals
WarGames,Matthew Broderick
The Right Stuff,Sam Shepard
Krull,Ken Marshall
Spring Break,David Knell
The Dead Zone,Christopher Walken
Octopussy,Roger Moore
Private School,Phoebe Cates
Valley Girl,Nicolas Cage
Rumble Fish,Matt Dillon
Videodrome,James Woods
Terms of Endearment,Shirley MacLaine
Twilight Zone: The Movie,Dan Aykroyd
Never Say Never Again,Sean Connery
A Christmas Story,Peter Billingsley
Cujo,Dee Wallace
Sudden Impact,Clint Eastwood
The Hunger,Catherine Deneuve
Mr. Mom,Michael Keaton
Blue Thunder,Roy Scheider
Breathless,Richard Gere
Psycho II,Anthony Perkins
Local Hero,Burt Lancaster
Bad Boys,Sean Penn
Silkwood,Meryl Streep
All the Right Moves,Tom Cruise
The Keep,Scott Glenn
My Tutor,Matt Lattanzi
Yentl,Barbra Streisand
Fire and Ice,Randy Norton
Eddie and the Cruisers,Tom Berenger
Yellowbeard,Graham Chapman
The Meaning of Life,John Cleese
Nostalghia,Italy
Hot Dog... The Movie,David Naughton
Smokey and the Bandit Part 3,Jackie Gleason
Deathstalker,Rick Hill
Porky's II: The Next Day,Dan Monahan
Something Wicked This Way Comes,Jason Robards
Tender Mercies,Robert Duvall
Star 80,Mariel Hemingway
Gorky Park,William Hurt
Lone Wolf McQuade,Chuck Norris
Easy Money,Rodney Dangerfield
Merry Christmas Mr. Lawrence,David Bowie
Losin' It,Tom Cruise
Screwballs,Peter Keleghan
Brainstorm,Christopher Walken
The Man with Two Brains,Steve Martin
Angel,Cliff Gorman
10 to Midnight,Charles Bronson
Uncommon Valor,Gene Hackman
Doctor Detroit,Dan Aykroyd
Mortuary,Mary Beth McDonough
Stroker Ace,Burt Reynolds
Sahara,Brooke Shields
Two of a Kind,John Travolta
Chained Heat,Linda Blair
Spacehunter: Adventures in the Forbidden Zone,Peter Strauss
High Road to China,Tom Selleck
Never Cry Wolf,Charles Martin Smith
The Pirates of Penzance,Kevin Kline
Rock & Rule,Don Francks
Hercules,Lou Ferrigno
Educating Rita,Michael Caine
A Night in Heaven,Christopher Atkins
Under Fire,Nick Nolte
Amityville 3-D,Tony Roberts
Testament,Jane Alexander
The Osterman Weekend,Rutger Hauer
Revenge of the Ninja,Shô Kosugi
Zelig,Woody Allen
Independence Day,Kathleen Quinlan
Escape from the Bronx,Mark Gregory
To Be or Not to Be,Mel Brooks
Eureka,Gene Hackman
The Wicked Lady,Faye Dunaway
Still Smokin,Cheech Marin
"Yor,Juan Zanotto
Of Unknown Origin,Peter Weller
Curse of the Pink Panther,David Niven
D.C. Cab,Max Gail
Beyond the Limit,Michael Caine
The Survivors,Walter Matthau
The Lonely Lady,Pia Zadora
The Star Chamber,Michael Douglas
The Dresser,Albert Finney
The Lords of Discipline,David Keith
Cross Creek,Mary Steenburgen
The Man Who Loved Women,Burt Reynolds
Nightmares,Cristina Raines
Deal of the Century,Chevy Chase
Eddie Macon's Run,Kirk Douglas
Max Dugan Returns,Jason Robards
The Sting II,Jackie Gleason
Baby It's You,Rosanna Arquette
Heat and Dust,United Kingdom
Going Berserk,John Candy
Daniel,Timothy Hutton
Heart Like a Wheel,Bonnie Bedelia
Love Letters,Jamie Lee Curtis
Get Crazy,Malcolm McDowell
Nate and Hayes,Tommy Lee Jones
Strange Invaders,Paul Le Mat
The Black Stallion Returns,Kelly Reno
Metalstorm: the Destruction of Jared-Syn,Jeffrey Byron
Getting It on,United States
Lianna,Linda Griffiths
Better Late Than Never,David Niven
Lovesick,Dudley Moore
Running Brave,Robby Benson
Exposed,Nastassja Kinski
Trenchcoat,Margot Kidder
Stryker,Steve Sandor
The Man Who Wasn't There,Steve Guttenberg
Table for Five,Jon Voight
Romantic Comedy,Dudley Moore
Young Warriors,Ernest Borgnine
"Man,Erich Segal
Hanna K.,Jill Clayburgh
Slayground,United Kingdom
White Star,Dennis Hopper
Richard Pryor... Here and Now,Richard Pryor
Deadly Force,Wings Hauser
My Brother's Wedding,United States
Blue Skies Again,Harry Hamlin
